,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.api.codegen.indexes.HollowHashIndexGenerator,9,1,1,9,0,
com.netflix.hollow.core.read.dataaccess.proxy.HollowSetProxyDataAccess,6,0,2,4,0,
com.netflix.hollow.core.read.filter.ResolvedTypeFilter,3,0,1,4,0,
com.netflix.hollow.core.memory.ByteData,0,0,0,0,0,
com.netflix.hollow.api.consumer.metrics.AbstractRefreshMetricsListener,19,2,2,11,0,
com.netflix.hollow.core.read.dataaccess.HollowListTypeDataAccess,0,0,0,0,0,
com.netflix.hollow.api.codegen.HollowAPIFactoryJavaGenerator,0,0,1,5,0,
com.netflix.hollow.api.consumer.data.GenericHollowRecordDataAccessor,3,0,1,8,0,
com.netflix.hollow.api.objects.HollowList,9,1,1,2,0,
com.netflix.hollow.api.metrics.HollowMetrics,5,0,0,3,0,
com.netflix.hollow.core.type.HBoolean,4,0,1,3,0,
com.netflix.hollow.tools.filter.FilteredHollowBlobWriterStreamAndFilter,2,1,0,1,0,
com.netflix.hollow.api.objects.HollowObject,15,1,1,3,0,
com.netflix.hollow.core.read.engine.map.HollowMapTypeReadStateShard,23,2,0,10,0,
com.netflix.hollow.core.type.HLong,4,0,1,3,0,
com.netflix.hollow.api.codegen.objects.HollowObjectJavaGenerator,104,2,1,14,0,
com.netflix.hollow.tools.diff.count.HollowDiffMapCountingNode,70,10,1,11,0,
com.netflix.hollow.api.producer.VersionMinterWithCounter,0,0,1,2,0,
com.netflix.hollow.core.write.HollowObjectTypeWriteState,107,5,1,15,0,
com.netflix.hollow.core.schema.HollowSchema,25,0,0,7,0,
com.netflix.hollow.api.objects.delegate.HollowListLookupDelegate,9,2,1,4,0,
com.netflix.hollow.core.memory.encoding.HashCodes,11,0,1,6,0,
com.netflix.hollow.core.type.delegate.IntegerDelegate,0,0,0,0,0,
com.netflix.hollow.api.producer.listener.IncrementalPopulateListener,0,0,0,0,0,
com.netflix.hollow.core.util.StateEngineRoundTripper,13,0,0,6,0,
com.netflix.hollow.api.error.IncompatibleSchemaException,0,0,1,1,0,
com.netflix.hollow.api.consumer.data.AbstractHollowOrdinalIterable,2,1,0,2,0,
com.netflix.hollow.core.type.delegate.LongDelegateCachedImpl,4,1,3,5,0,
com.netflix.hollow.core.write.objectmapper.HollowSetTypeMapper,14,4,1,10,0,
com.netflix.hollow.api.consumer.HollowConsumer,18,7,0,16,0,
com.netflix.hollow.core.index.traversal.HollowIndexerObjectTraversalNode,5,1,1,4,0,
com.netflix.hollow.tools.combine.HollowCombiner,77,9,0,34,0,
com.netflix.hollow.api.common.Listeners,0,1,0,2,0,
com.netflix.hollow.api.consumer.data.AbstractHollowDataAccessor,15,3,3,13,0,
com.netflix.hollow.api.objects.generic.GenericHollowSet,7,0,1,8,0,
com.netflix.hollow.tools.combine.IdentityOrdinalRemapper,0,0,1,1,0,
com.netflix.hollow.api.error.HollowWriteStateException,0,0,1,1,0,
com.netflix.hollow.api.custom.HollowAPI,6,2,0,3,0,
com.netflix.hollow.core.read.dataaccess.HollowMapTypeDataAccess,0,0,0,0,0,
com.netflix.hollow.core.schema.SimpleHollowDataset,1,0,1,3,0,
com.netflix.hollow.core.read.dataaccess.disabled.HollowObjectDisabledDataAccess,0,0,1,1,0,
com.netflix.hollow.tools.split.HollowSplitterPrimaryKeyCopyDirector,7,0,1,6,0,
com.netflix.hollow.core.write.HollowMapWriteRecord,6,0,1,5,0,
com.netflix.hollow.api.producer.ReadStateHelper,7,3,1,6,0,
com.netflix.hollow.core.index.traversal.HollowIndexerCollectionTraversalNode,4,1,1,3,0,
com.netflix.hollow.api.codegen.indexes.HollowUniqueKeyIndexGenerator,2,1,1,6,0,
com.netflix.hollow.api.client.HollowUpdatePlan,3,0,0,4,0,
