,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.collect.TableCollectors,28,0,0,1,0,
com.google.common.collect.TreeMultimap,17,1,0,0,0,
com.google.common.primitives.ShortsMethodsForWeb,0,0,0,0,0,
com.google.common.collect.ImmutableMultisetGwtSerializationDependencies,0,1,0,0,0,
com.google.common.base.Splitter,30,1,0,2,0,
com.google.common.collect.ComparatorOrdering,1,1,0,0,0,
com.google.common.collect.Queues,10,0,1,0,0,
com.google.common.hash.AbstractHasher,15,1,1,0,0,
com.google.common.reflect.TypeResolver,39,1,4,1,0,
com.google.common.hash.SipHashFunction,3,2,0,1,0,
com.google.common.collect.AbstractTable,43,1,0,0,0,
com.google.common.util.concurrent.ServiceManager,101,2,16,10,0,
com.google.common.collect.Multimap,0,0,0,0,0,
com.google.common.io.CharSink,12,0,0,0,0,
com.google.common.collect.ForwardingConcurrentMap,0,1,0,0,0,
com.google.common.hash.AbstractHashFunction,19,1,0,0,0,
com.google.common.graph.AbstractDirectedNetworkConnections,19,1,5,0,0,
com.google.common.collect.CollectSpliterators,22,0,0,0,0,
com.google.common.util.concurrent.FluentFuture,0,1,1,0,0,
com.google.common.collect.MultimapBuilder,27,5,1,0,0,
com.google.common.base.JdkPattern,2,2,0,0,0,
com.google.common.base.FinalizableWeakReference,1,1,0,0,0,
com.google.common.base.internal.Finalizer,0,0,0,0,0,
com.google.common.graph.Network,0,0,0,0,0,
com.google.common.collect.RegularImmutableBiMap,31,3,0,4,0,
com.google.common.graph.AbstractGraph,11,2,0,0,0,
com.google.common.io.ByteSink,12,1,0,0,0,
com.google.common.primitives.Chars,21,0,0,0,0,
com.google.common.cache.LongAdder,4,2,0,0,0,
com.google.common.hash.MessageDigestHashFunction,6,2,0,0,0,
com.google.common.util.concurrent.Runnables,0,0,0,0,0,
com.google.common.collect.Count,0,0,0,0,0,
com.google.common.util.concurrent.Callables,9,0,1,0,0,
com.google.common.net.HostAndPort,16,0,2,0,0,
com.google.common.collect.TreeBasedTable,23,2,2,0,0,
com.google.common.graph.Traverser,18,0,2,2,0,
com.google.common.util.concurrent.Monitor,11,0,1,0,0,
com.google.common.collect.EmptyImmutableSetMultimap,1,1,0,0,0,
com.google.common.collect.ImmutableCollection,5,0,0,0,0,
com.google.common.collect.IndexedImmutableSet,6,1,0,0,0,
